method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_minhash_lsh,naib-xtez.csv,a59_using_weapon_other_than,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,0.06001615524291992,0.7,nyc_1000_4
cms,45nu-yrf2.csv,6 EXPULSIONS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,660.8014795780182,0.7,nyc_1000_4
cms_sampling,45nu-yrf2.csv,6 EXPULSIONS,"medium
",652,2,0,58804,0.9999663628107235,0.9969418960244648,1.0,0.9984686064318529,328.2081708908081,0.7,nyc_1000_4
cms_earlystopping,45nu-yrf2.csv,6 EXPULSIONS,"medium
",0,0,652,58806,0.9890342762958727,0.0,0.0,0.0,32.866371870040894,0.7,nyc_1000_4
cms_minhash,45nu-yrf2.csv,6 EXPULSIONS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2.257795572280884,0.7,nyc_1000_4
cms_minhash_lsh,45nu-yrf2.csv,6 EXPULSIONS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,0.05314779281616211,0.7,nyc_1000_4
cms,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,659.8447570800781,0.7,nyc_1000_4
cms_sampling,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,328.0700945854187,0.7,nyc_1000_4
cms_earlystopping,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,37.023714780807495,0.7,nyc_1000_4
cms_minhash,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,2.215711832046509,0.7,nyc_1000_4
cms_minhash_lsh,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,0.00047397613525390625,0.7,nyc_1000_4
cms,i6ky-n2wd.csv,_2_superintendent,"medium
",501,0,0,58957,1.0,1.0,1.0,1.0,661.8418252468109,0.7,nyc_1000_4
cms_sampling,i6ky-n2wd.csv,_2_superintendent,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,328.89790391921997,0.7,nyc_1000_4
cms_earlystopping,i6ky-n2wd.csv,_2_superintendent,"medium
",0,0,501,58957,0.9915738840862458,0.0,0.0,0.0,32.87718462944031,0.7,nyc_1000_4
cms_minhash,i6ky-n2wd.csv,_2_superintendent,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,2.208348274230957,0.7,nyc_1000_4
cms_minhash_lsh,i6ky-n2wd.csv,_2_superintendent,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,0.06054353713989258,0.7,nyc_1000_4
cms,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",970,0,0,58488,1.0,1.0,1.0,1.0,662.5589904785156,0.7,nyc_1000_4
cms_sampling,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",970,2,0,58486,0.9999663628107235,0.9979423868312757,1.0,0.9989701338825953,328.9828131198883,0.7,nyc_1000_4
cms_earlystopping,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",4,0,966,58488,0.9837532375794679,1.0,0.004123711340206186,0.008213552361396304,34.38748812675476,0.7,nyc_1000_4
cms_minhash,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",968,0,2,58488,0.9999663628107235,1.0,0.9979381443298969,0.9989680082559339,2.275763750076294,0.7,nyc_1000_4
cms_minhash_lsh,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",968,0,2,58488,0.9999663628107235,1.0,0.9979381443298969,0.9989680082559339,0.05177474021911621,0.7,nyc_1000_4
cms,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,661.6046159267426,0.7,nyc_1000_4
cms_sampling,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,328.68382382392883,0.7,nyc_1000_4
cms_earlystopping,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,35.776896476745605,0.7,nyc_1000_4
cms_minhash,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.210416316986084,0.7,nyc_1000_4
cms_minhash_lsh,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.00043773651123046875,0.7,nyc_1000_4
cms,n84m-kx4j.csv,vehicle_engine_horsepower,high,1,0,0,59457,1.0,1.0,1.0,1.0,662.8904461860657,0.7,nyc_1000_4
cms_sampling,n84m-kx4j.csv,vehicle_engine_horsepower,high,1,0,0,59457,1.0,1.0,1.0,1.0,329.7992355823517,0.7,nyc_1000_4
cms_earlystopping,n84m-kx4j.csv,vehicle_engine_horsepower,high,1,0,0,59457,1.0,1.0,1.0,1.0,35.693000078201294,0.7,nyc_1000_4
cms_minhash,n84m-kx4j.csv,vehicle_engine_horsepower,high,1,0,0,59457,1.0,1.0,1.0,1.0,2.269057273864746,0.7,nyc_1000_4
cms_minhash_lsh,n84m-kx4j.csv,vehicle_engine_horsepower,high,1,0,0,59457,1.0,1.0,1.0,1.0,0.00023055076599121094,0.7,nyc_1000_4
cms,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",128,0,0,59330,1.0,1.0,1.0,1.0,665.983785867691,0.7,nyc_1000_4
cms_sampling,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",128,0,0,59330,1.0,1.0,1.0,1.0,330.8590307235718,0.7,nyc_1000_4
