 method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_minhash_lsh,uu87-uz8m.csv,asc_contact_perp,"high
",70,0,0,59388,1.0,1.0,1.0,1.0,0.013039112091064453,0.7,nyc_16
cms,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",128,0,0,59330,1.0,1.0,1.0,1.0,2639.155923604965,0.7,nyc_16
cms_sampling,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",128,2,0,59328,0.9999663628107235,0.9846153846153847,1.0,0.9922480620155039,1309.7482430934906,0.7,nyc_16
cms_earlystopping,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",0,0,128,59330,0.9978472198863063,0.0,0.0,0.0,130.86770224571228,0.7,nyc_16
cms_minhash,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",126,2,2,59328,0.9999327256214471,0.984375,0.984375,0.984375,2.511183738708496,0.7,nyc_16
cms_minhash_lsh,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",126,2,2,59328,0.9999327256214471,0.984375,0.984375,0.984375,0.028313398361206055,0.7,nyc_16
cms,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2640.481731891632,0.7,nyc_16
cms_sampling,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,1312.5540347099304,0.7,nyc_16
cms_earlystopping,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,130.3412048816681,0.7,nyc_16
cms_minhash,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.490361213684082,0.7,nyc_16
cms_minhash_lsh,g3xg-qtbc.csv,approx_date_closed,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.0004143714904785156,0.7,nyc_16
cms,jpcp-ic7c.csv,qworktravelcode06,"high
",41,0,0,59417,1.0,1.0,1.0,1.0,2641.3894872665405,0.7,nyc_16
cms_sampling,jpcp-ic7c.csv,qworktravelcode06,"high
",41,0,0,59417,1.0,1.0,1.0,1.0,1311.720587015152,0.7,nyc_16
cms_earlystopping,jpcp-ic7c.csv,qworktravelcode06,"high
",0,0,41,59417,0.9993104376198325,0.0,0.0,0.0,131.18438506126404,0.7,nyc_16
cms_minhash,jpcp-ic7c.csv,qworktravelcode06,"high
",41,6,0,59411,0.9998990884321706,0.8723404255319149,1.0,0.9318181818181819,2.3840768337249756,0.7,nyc_16
cms_minhash_lsh,jpcp-ic7c.csv,qworktravelcode06,"high
",41,6,0,59411,0.9998990884321706,0.8723404255319149,1.0,0.9318181818181819,0.03515338897705078,0.7,nyc_16
cms,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",970,0,0,58488,1.0,1.0,1.0,1.0,2636.880883216858,0.7,nyc_16
cms_sampling,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",968,0,2,58488,0.9999663628107235,1.0,0.9979381443298969,0.9989680082559339,1309.5557391643524,0.7,nyc_16
