method,query file,query column,query selectivity,accuracy,precision,recall,f1 score,time,threshold,dataset name
cms,utpj-74fz.csv,retail_store_number_of_open,low,0.9999831845163026,0.9991289198606272,1.0,0.9995642701525056,700.9173455238342,0.7,nyc
cms_sampling,utpj-74fz.csv,retail_store_number_of_open,low,0.9997141367771444,0.9853951890034364,1.0,0.9926438771094764,347.05547404289246,0.7,nyc
cms_earlystopping,utpj-74fz.csv,retail_store_number_of_open,low,0.9999831845163026,0.9991289198606272,1.0,0.9995642701525056,51.56658244132996,0.7,nyc
cms_minhash,utpj-74fz.csv,retail_store_number_of_open,low,0.9998822916141182,1.0,0.993897122929381,0.9969392216878008,0.8760867118835449,0.7,nyc
cms_minhash_lsh,utpj-74fz.csv,retail_store_number_of_open,low,0.9998822916141182,1.0,0.993897122929381,0.9969392216878008,0.0281243324279785,0.7,nyc
cms,utpj-74fz.csv,bank_branch_number_of,low,1.0,1.0,1.0,1.0,707.960444688797,0.7,nyc
cms_sampling,utpj-74fz.csv,bank_branch_number_of,low,0.9997477677445392,0.986922406277245,1.0,0.9934181658622204,348.6376781463623,0.7,nyc
cms_earlystopping,utpj-74fz.csv,bank_branch_number_of,low,1.0,1.0,1.0,1.0,51.65263199806213,0.7,nyc
cms_minhash,utpj-74fz.csv,bank_branch_number_of,low,0.9998654761304208,1.0,0.9929328621908128,0.9964539007092198,0.8949248790740967,0.7,nyc
cms_minhash_lsh,utpj-74fz.csv,bank_branch_number_of,low,0.9998654761304208,1.0,0.9929328621908128,0.9964539007092198,0.0277671813964843,0.7,nyc
cms,njjd-3gve.csv,q20_r7_c4,low,1.0,1.0,1.0,1.0,697.3337979316711,0.7,nyc
cms_sampling,njjd-3gve.csv,q20_r7_c4,low,0.9995964283912628,0.9892739273927392,0.990909090909091,0.99009083402147,345.39182806015015,0.7,nyc
cms_earlystopping,njjd-3gve.csv,q20_r7_c4,low,1.0,1.0,1.0,1.0,70.15508604049683,0.7,nyc
cms_minhash,njjd-3gve.csv,q20_r7_c4,low,0.9998150296793288,0.9934156378600824,0.9975206611570248,0.9954639175257732,0.8982782363891602,0.7,nyc
cms_minhash_lsh,njjd-3gve.csv,q20_r7_c4,low,0.9998150296793288,0.9934156378600824,0.9975206611570248,0.9954639175257732,0.0366561412811279,0.7,nyc
