method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_minhash,disc.csv,A52 Group Violence S,medium,1218,10,0,58241,0.9998318451630261,0.99185667752443,1.0,0.9959116925592805,1.245635986328125,0.1,nyc
cms_minhash_lsh,disc.csv,A52 Group Violence S,medium,1218,10,0,58241,0.9998318451630261,0.99185667752443,1.0,0.9959116925592805,0.18210744857788086,0.1,nyc
cms,naib-xtez.csv,a59_using_weapon_other_than,medium,1219,10,0,58240,0.9998318451630261,0.9918633034987795,1.0,0.9959150326797386,1637.8918483257294,0.1,nyc
cms_sampling,naib-xtez.csv,a59_using_weapon_other_than,medium,1219,2,0,58248,0.9999663690326053,0.9983619983619983,1.0,0.9991803278688524,816.9256179332733,0.1,nyc
cms_earlystopping,naib-xtez.csv,a59_using_weapon_other_than,medium,0,0,1219,58250,0.9795019253728834,0.0,0.0,0.0,81.21431684494019,0.1,nyc
cms_minhash,naib-xtez.csv,a59_using_weapon_other_than,medium,1219,18,0,58232,0.999697321293447,0.9854486661277284,1.0,0.992671009771987,2.5221073627471924,0.1,nyc
cms_minhash_lsh,naib-xtez.csv,a59_using_weapon_other_than,medium,1219,18,0,58232,0.999697321293447,0.9854486661277284,1.0,0.992671009771987,0.3763597011566162,0.1,nyc
cms,vc9v-wg6y.csv,ell_arabic,high,974,3,0,58492,0.9999495535489078,0.9969293756397134,1.0,0.9984623270117888,1637.4431614875793,0.1,nyc
cms_sampling,vc9v-wg6y.csv,ell_arabic,high,913,13,61,58482,0.9987556542063932,0.9859611231101512,0.9373716632443532,0.9610526315789473,816.3510463237762,0.1,nyc
cms_earlystopping,vc9v-wg6y.csv,ell_arabic,high,174,2,800,58493,0.9865139820746944,0.9886363636363636,0.17864476386036962,0.30260869565217396,144.18159937858582,0.1,nyc
cms_minhash,vc9v-wg6y.csv,ell_arabic,high,947,23,27,58472,0.9991592258151306,0.9762886597938144,0.9722792607802875,0.9742798353909464,2.182286500930786,0.1,nyc
cms_minhash_lsh,vc9v-wg6y.csv,ell_arabic,high,947,23,27,58472,0.9991592258151306,0.9762886597938144,0.9722792607802875,0.9742798353909464,0.5467443466186523,0.1,nyc
cms,8nqg-ia7v.csv,flag_mc,high,803,0,0,58666,1.0,1.0,1.0,1.0,1633.3864541053772,0.1,nyc
cms_sampling,8nqg-ia7v.csv,flag_mc,high,782,44,21,58622,0.9989069935596697,0.9467312348668281,0.9738480697384807,0.960098219766728,814.2630152702332,0.1,nyc
cms_earlystopping,8nqg-ia7v.csv,flag_mc,high,803,0,0,58666,1.0,1.0,1.0,1.0,122.85725951194763,0.1,nyc
cms_minhash,8nqg-ia7v.csv,flag_mc,high,794,40,9,58626,0.999176041298828,0.9520383693045563,0.9887920298879203,0.9700671960904094,2.227806329727173,0.1,nyc
cms_minhash_lsh,8nqg-ia7v.csv,flag_mc,high,794,40,9,58626,0.999176041298828,0.9520383693045563,0.9887920298879203,0.9700671960904094,0.312455415725708,0.1,nyc
cms,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,1218,0,0,58251,1.0,1.0,1.0,1.0,1638.4104707241058,0.1,nyc
cms_sampling,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,1203,2,15,58249,0.9997141367771444,0.9983402489626556,0.9876847290640394,0.9929839042509286,817.35537981987,0.1,nyc
cms_earlystopping,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,0,0,1218,58251,0.9795187408565807,0.0,0.0,0.0,81.20888137817383,0.1,nyc
cms_minhash,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,1218,10,0,58241,0.9998318451630261,0.99185667752443,1.0,0.9959116925592805,2.724108934402466,0.1,nyc
cms_minhash_lsh,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,1218,10,0,58241,0.9998318451630261,0.99185667752443,1.0,0.9959116925592805,0.18218159675598145,0.1,nyc
cms,fx4z-5xg2.csv,stop_question_frisk_complaint,high,252,0,0,59217,1.0,1.0,1.0,1.0,1629.2848443984985,0.1,nyc
cms_sampling,fx4z-5xg2.csv,stop_question_frisk_complaint,high,252,1,0,59216,0.9999831845163026,0.9960474308300395,1.0,0.998019801980198,811.9685518741608,0.1,nyc
cms_earlystopping,fx4z-5xg2.csv,stop_question_frisk_complaint,high,209,0,43,59217,0.9992769342010123,1.0,0.8293650793650794,0.9067245119305857,87.31133961677551,0.1,nyc
cms_minhash,fx4z-5xg2.csv,stop_question_frisk_complaint,high,252,2,0,59215,0.9999663690326053,0.9921259842519685,1.0,0.9960474308300395,2.5540480613708496,0.1,nyc
cms_minhash_lsh,fx4z-5xg2.csv,stop_question_frisk_complaint,high,252,2,0,59215,0.9999663690326053,0.9921259842519685,1.0,0.9960474308300395,0.20676422119140625,0.1,nyc
cms,r5p4-2qap.csv,18 PRINCIPAL,medium,1148,0,0,58321,1.0,1.0,1.0,1.0,1639.7129664421082,0.1,nyc
cms_sampling,r5p4-2qap.csv,18 PRINCIPAL,medium,1148,1,0,58320,0.9999831845163026,0.999129677980853,1.0,0.999564649542882,816.7415897846222,0.1,nyc
